Precincts,Demographics,Candidates,Abstain
143-MT VIEW,,,
045-V R COUNTY NORTH,,,
115-FOSTERS MILL,,,
115-CAVE SPRING,,,
233-ARAGON,,,
233-ROCKMART,,,
045-CENTER POINT,,,
045-BETHANY,,,
155-OCILLA,,,
153-VHS,,,
069-DOUGLAS,,,
069-AMBROSE,,,
017-EAST,,,
315-ABBEVILLE SOUTH 5,,,
233-FISH CREEK,,,
143-TWENTIETH,,,
121-02J,,,
121-SC30A,,,
121-SS13B,,,
121-10I,,,
121-11G,,,
121-08P,,,
121-09H,,,
121-11H,,,
121-12I,,,
121-10K,,,
121-06G,,,
121-02K,,,
121-01I,,,
121-05C,,,
121-06N,,,
121-06Q,,,
121-09I,,,
121-04J,,,
121-03A,,,
121-04C,,,
121-05B,,,
121-01H,,,
121-12K,,,
121-12N,,,
121-04I,,,
121-05K,,,
121-02D,,,
121-05J,,,
121-02W,,,
121-03I,,,
121-02S,,,
121-03F,,,
121-08L,,,
121-04F,,,
121-08K,,,
121-02C,,,
121-05F,,,
121-02B,,,
121-05D,,,
251-HILTONIA,,,
251-SR CITIZENS CENTER,,,
233-YOUNGS GROVE,,,
143-FELTON,,,
055-DIRTSELLER,,,
033-GIRARD,,,
251-JACKSON FIRE STATION,,,
251-NEWINGTON,,,
143-BEREA-STEADMAN,,,
121-07D,,,
121-09D,,,
121-06R,,,
121-06B,,,
121-01D,,,
121-04K,,,
121-09F,,,
121-04W,,,
121-04G,,,
121-03G,,,
121-04A,,,
121-12S,,,
121-12F,,,
121-12G,,,
121-12J,,,
121-08J,,,
221-CRAWFORD,,,
059-1A,,,
135-CATES L,,,
311-ROBERTSTOWN,,,
137-AMYS CREEK,,,
195-HULL,,,
281-YOUNG HARRIS,,,
135-CATES C,,,
135-CATES H,,,
135-ROCKBRIDGE C,,,
135-LAWRENCEVILLE J,,,
317-EDWARD B POPE CENTER,,,
317-METASVILLE FIRE STA,,,
317-COURTHOUSE,,,
317-TIGNALL SCH LUNCH RM,,,
135-GARNERS B,,,
135-PUCKETTS C,,,
135-SUWANEE D,,,
135-ROCKYCREEK B,,,
135-LAWRENCEVILLE G,,,
135-ROCKBRIDGE G,,,
135-ROCKBRIDGE A,,,
135-ROCKBRIDGE D,,,
135-PINCKNEYVILLE S,,,
135-BERKSHIRE M,,,
135-BERKSHIRE J,,,
135-DUNCANS A,,,
135-GOODWINS I,,,
135-LAWRENCEVILLE D,,,
135-PINCKNEYVILLE T,,,
135-GARNERS C,,,
275-PATTEN,,,
051-PB EDWARDS GYM,,,
051-ROTHWELL BAPTIST CHURCH,,,
151-MT BETHEL,,,
217-LIVINGSTON,,,
135-GARNERS D,,,
051-LAKE SHORE COMM CTR,,,
051-POOLER CITY HALL,,,
071-BRIDGECREEK,,,
217-DOWNS,,,
275-BOSTON,,,
027-DIXIE,,,
217-ROCKY PLAINS,,,
275-BARWICK,,,
027-BARWICK,,,
027-BRIGGS,,,
121-04X2,,,
121-SC29A,,,
121-SC09B,,,
121-03P1B,,,
121-AP07B,,,
121-SC05B,,,
121-UC02B,,,
121-AP12A,,,
121-10A,,,
121-AP12C,,,
121-RW07B,,,
121-03P1A,,,
121-AP12D,,,
121-RW07A,,,
121-SS13A,,,
151-LAKE DOW,,,
151-TIMBERRIDGE,,,
135-BERKSHIRE H,,,
135-GOODWINS E,,,
151-KELLEYTOWN,,,
207-PROCTORS,,,
151-SHILOH,,,
151-TUSSAHAW,,,
135-PINCKNEYVILLE P,,,
135-BERKSHIRE P,,,
135-PINCKNEYVILLE H,,,
135-PINCKNEYVILLE F,,,
147-REED CREEK,,,
151-MCDONOUGH CENTRAL,,,
151-MCMULLEN,,,
151-SANDY RIDGE,,,
135-PINCKNEYVILLE W,,,
135-PINCKNEYVILLE M,,,
135-BERKSHIRE G,,,
135-ROCKBRIDGE B,,,
135-LAWRENCEVILLE F,,,
135-MARTINS D,,,
135-PINCKNEYVILLE Q,,,
135-PINCKNEYVILLE U,,,
135-CATES J,,,
135-PINCKNEYVILLE J,,,
135-HOG MOUNTAIN C,,,
135-HARBINS B,,,
135-SUGAR HILL F,,,
135-SUGAR HILL C,,,
135-GOODWINS D,,,
135-LAWRENCEVILLE C,,,
135-MARTINS K,,,
135-DULUTH I,,,
135-BERKSHIRE Q,,,
135-BAYCREEK I,,,
135-LAWRENCEVILLE L,,,
135-SUWANEE F,,,
135-BAYCREEK E,,,
135-GARNERS F,,,
135-HARBINS C,,,
135-DULUTH K,,,
135-LAWRENCEVILLE H,,,
135-CATES K,,,
135-BAYCREEK J,,,
135-SUWANEE G,,,
135-SUGAR HILL G,,,
135-SUWANEE H,,,
195-POCA,,,
195-MILL,,,
195-PITTMAN,,,
119-SOUTHWEST FRANKLIN,,,
135-DULUTH H,,,
135-SUWANEE C,,,
135-PUCKETTS D,,,
135-ROCKYCREEK C,,,
137-HABERSHAM NORTH,,,
281-HIAWASSEE,,,
241-RABUN COUNTY,,,
105-WEBBSBORO,,,
195-ILA,,,
265-SHARON,,,
105-WYCHE,,,
135-DUNCANS B,,,
135-GOODWINS H,,,
135-PINCKNEYVILLE A1,,,
135-PINCKNEYVILLE Z,,,
135-CATES D,,,
135-LAWRENCEVILLE M,,,
135-LAWRENCEVILLE K,,,
135-SUWANEE E,,,
135-BAYCREEK H,,,
135-BAYCREEK F,,,
135-BAYCREEK G,,,
135-CATES F,,,
135-LAWRENCEVILLE N,,,
135-LAWRENCEVILLE E,,,
057-HIGHTOWER,,,
057-BALL GROUND,,,
057-AVERY,,,
057-UNION HILL,,,
057-MACEDONIA,,,
057-FREEHOME,,,
027-QUITMAN,,,
275-PAVO,,,
207-HIGH FALLS,,,
151-LOCUST GROVE,,,
035-BUTTS COUNTY ADMIN BLDG,,,
151-UNITY GROVE,,,
151-MCDONOUGH,,,
151-EAST LAKE,,,
151-GROVE PARK,,,
027-NANKIN,,,
275-COOLIDGE,,,
071-MURPHY,,,
059-5C,,,
059-3A,,,
059-5A,,,
157-SOUTH JACKSON,,,
051-WOODLAWN BAPTIST CHURCH,,,
051-SAVANNAH CHRISTIAN,,,
051-LARGO-TIBET ELEMENTARY,,,
051-SAVANNAH PRIMITIVE BC,,,
139-WILSON,,,
139-TADMORE,,,
157-CENTRAL JACKSON,,,
139-GAINESVILLE IV,,,
139-CLERMONT,,,
311-SHOAL CREEK,,,
157-WEST JACKSON,,,
139-GAINESVILLE II,,,
139-GAINESVILLE I,,,
139-CANDLER,,,
139-FORK,,,
139-GLADE,,,
057-HOLLY SPRINGS,,,
057-LIBERTY,,,
139-QUILLIANS,,,
139-WHELCHEL,,,
139-BIG HICKORY,,,
139-WEST WHELCHEL,,,
139-GAINESVILLE V,,,
227-SHARPTOP,,,
139-ROBERTS,,,
057-TOONIGH,,,
057-NEESE,,,
057-DEER RUN,,,
057-WALESKA,,,
139-GILLSVILLE,,,
121-09K,,,
121-RW12,,,
121-UC02C,,,
121-11B1,,,
121-SC07D,,,
121-UC02A,,,
121-EP04A,,,
121-12A,,,
121-EP04C,,,
121-11M,,,
121-12A1,,,
121-11M1,,,
121-02A1,,,
121-02A,,,
121-02L1,,,
121-02L1A,,,
121-CP07E,,,
121-CP07F,,,
121-CP07C,,,
121-ML04,,,
121-ML02B,,,
121-SC08F,,,
121-SC02,,,
121-ML01A,,,
121-FA01A,,,
121-UC01D,,,
121-RW16,,,
121-AP06,,,
121-SS03,,,
121-SS31,,,
121-RW17,,,
121-SS05,,,
121-RW06,,,
121-RW20,,,
121-RW04,,,
121-AP03,,,
121-AP022,,,
121-AP021,,,
121-AP02B,,,
121-CP011,,,
121-AP04A,,,
121-AP04B,,,
121-03H,,,
121-08M,,,
051-ELKS LODGE,,,
051-SEED CHURCH,,,
051-CHRIST MEMORIAL BAPTIST CHURCH,,,
051-SILK HOPE BAPTIST CHURCH,,,
051-JEA BUILDING,,,
051-SOUTHSIDE BAPTIST CHURCH,,,
051-OGLETHORPE CHARTER ACADEMY,,,
051-GRACE UNITED METHODIST CHURCH,,,
103-2B,,,
051-SEVENTH DAY ADV CHURCH,,,
051-GARDEN CITY REC CENTER,,,
051-BEACH HIGH SCHOOL,,,
051-SOUTHSIDE FIRE TRNG CTR,,,
051-PROGRESSIVE REC CENTER,,,
051-COASTAL CATHEDRAL,,,
051-GUARD HOUSE COMM CTR,,,
121-RW03,,,
121-03B,,,
121-10M,,,
121-11E3,,,
121-AP14,,,
121-SC23B,,,
121-SC29B,,,
121-SC11A,,,
121-SC11B,,,
121-06L1,,,
121-JC03A,,,
121-08F1,,,
121-06L2,,,
121-04M,,,
121-11N,,,
121-04T,,,
121-04S,,,
121-11J,,,
121-11P,,,
121-12L,,,
121-11R,,,
121-03D,,,
121-12E1,,,
121-10J,,,
121-10C,,,
121-10P,,,
121-10E,,,
121-08H,,,
121-04V,,,
121-08D,,,
121-08C,,,
121-03C,,,
121-01A,,,
121-01S,,,
121-02L2,,,
121-03N,,,
121-07N,,,
121-06J,,,
121-03T,,,
121-04D,,,
121-12D,,,
121-04B,,,
121-02F2,,,
121-06E,,,
121-01F,,,
121-08B,,,
121-01J,,,
121-08G,,,
121-UC032,,,
121-CP081,,,
121-JC16,,,
121-09G,,,
121-10H2,,,
121-01C,,,
121-CP06B,,,
121-SC10,,,
121-10H1,,,
121-ML03A,,,
121-SC15,,,
121-11B,,,
121-ML03,,,
121-RW12A,,,
121-SC07A,,,
121-SS06,,,
121-SS04,,,
121-03P2,,,
121-10F,,,
121-03M,,,
121-09C,,,
121-SC05A,,,
121-CP053,,,
121-07H,,,
121-SC19A,,,
121-SS09B,,,
121-SC07B,,,
121-UC01A,,,
121-10D,,,
121-CP051,,,
121-SC17A,,,
121-11K,,,
121-RW13,,,
121-JC04B,,,
121-RW22A,,,
121-AP09A,,,
121-JC10,,,
121-RW22B,,,
